country,country_code,year,gdp_per_capita,gni_per_capita,health_expenditure,population,mortality_rate
Niger,NER,2024,735.270255787226,680,,27032412,118445
Nigeria,NGA,2024,1084.16041805436,1700,,232679478,855676
North America,NAC,2024,81275.8436781762,80242.0713550042,,381464223,25634
North Macedonia,MKD,2024,9291.85661671864,8300,,1824359,48
Norway,NOR,2024,86785.4334489176,98170,,5572279,130
OECD members,OED,2024,48322.1644204871,47119.1916020071,,1396877448,93187
Oman,OMN,2024,20285.2272897377,19520,,5281538,884
Other small states,OSS,2024,16094.1266173126,14976.0670271432,,12931878,5665
Pacific island small states,PSS,2024,4453.58561280276,4380.52307042885,,2722467,1444
Pakistan,PAK,2024,1478.77277977996,1430,,251269164,381586
Panama,PAN,2024,19161.2188501596,18010,,4515577,1092
Papua New Guinea,PNG,2024,3006.70564478923,2900,,10576502,10037
Paraguay,PRY,2024,6416.09708970845,6300,,6929153,2227
Peru,PER,2024,8452.37167056621,7500,,34217848,6955
Philippines,PHL,2024,3984.8315387656,4470,,115843670,48685
Poland,POL,2024,25103.565661423,21590,8.06380177,36559233,1338
Portugal,PRT,2024,29292.242104753,26910,10.24061108,10694681,277
Post-demographic dividend,PST,2024,55644.314789934,54750.9501669972,,1128377826,47526
Pre-demographic dividend,PRE,2024,1366.06577255622,1453.70309167177,,1105951788,2722315
Puerto Rico (US),PRI,2024,39343.7154660139,25860,,3203295,
Qatar,QAT,2024,76688.6941743178,77290,,2857822,171
Romania,ROU,2024,20080.2096215595,17600,,19051804,1340
Russian Federation,RUS,2024,14889.0185546875,15320,,143533851,6759
Rwanda,RWA,2024,999.65456165547,1040,,14256567,14910
Samoa,WSM,2024,5392.87761915762,5040,,218019,82
Sao Tome and Principe,STP,2024,3490.56883486557,2850,,235536,88
Saudi Arabia,SAU,2024,35121.6628687742,35630,,35300280,3241
Senegal,SEN,2024,1773.21829923448,1680,,18501984,19308
Serbia,SRB,2024,13679.2065983557,11610,,6586476,323
Seychelles,SYC,2024,17858.8226383978,17460,,121354,24
Sierra Leone,SLE,2024,806.654650417726,820,,8642022,23171
