cell_type,asian_mean,white_mean,difference,t_statistic,p_value,significant
CD8+ T cells,6.8478873563218405,6.853721153846153,-0.005833797524312345,-0.0353802257714028,0.9717764342177926,
CD4+ T cells,7.189998850574713,7.503317692307697,-0.3133188417329844,-1.898734226335323,0.0575992952815938,
Treg cells,6.177869540229883,6.290588076923078,-0.11271853669319487,-0.8431770753113655,0.3991293106730527,
B cells,5.88173735632184,5.7716736538461575,0.11006370247568231,0.4188105946114936,0.6753546336233005,
NK cells,5.472079310344827,5.640373846153846,-0.16829453580901887,-1.3084111986656417,0.1907340048837871,
M1 Macrophages,6.577993103448273,6.703939423076923,-0.12594631962864966,-1.0027177675693784,0.31599706812615813,
M2 Macrophages,8.000865517241381,8.135296923076925,-0.13443140583554403,-0.7762940191167638,0.4375752646334421,
Neutrophils,4.688518965517244,4.961302692307691,-0.27278372679044693,-1.4620200143130229,0.14373580086459636,
Dendritic cells,7.0206350574712655,7.0850636538461504,-0.06442859637488496,-0.43119770757816944,0.6663246809106451,
